phi,upsilon,numerical_radius,asymptotic_radius
0.100000,0.00100000,446.475518375,447.2135955
0.100000,0.00165517,269.515130155,270.191547281
0.100000,0.00231034,192.94404636,193.570063724
0.100000,0.00296552,150.206777961,150.804584529
0.100000,0.00362069,122.876325016,123.5161359
0.100000,0.00427586,104.023098556,104.590276367
0.100000,0.00493103,90.0697160857,90.6936662203
0.100000,0.00558621,79.3895201085,80.05675475
0.100000,0.00624138,71.0211183563,71.6530070138
0.100000,0.00689655,64.1799605811,64.8459713475
0.100000,0.00755172,58.5832170865,59.2200651575
0.100000,0.00820690,53.8800841513,54.4924128971
0.100000,0.00886207,49.8480043495,50.4637909319
0.100000,0.00951724,46.3711102791,46.9898343098
0.100000,0.01017241,43.4183905345,43.9633704051
0.100000,0.01082759,40.6716577212,41.3031664634
0.100000,0.01148276,38.3136004262,38.9465293378
0.100000,0.01213793,36.2101407348,36.844301902
0.100000,0.01279310,34.382553443,34.9573969528
0.100000,0.01344828,32.6116831962,33.2543442808
0.100000,0.01410345,31.1453036454,31.7095214413
0.100000,0.01475862,29.6754896593,30.3018557699
0.100000,0.01541379,28.386367219,29.0138574262
0.100000,0.01606897,27.2023923439,27.8308889903
0.100000,0.01672414,26.111207461,26.7406067412
0.100000,0.01737931,25.0777804947,25.7325283125
0.100000,0.01803448,24.2044935401,24.797694588
0.100000,0.01868966,23.3103793533,23.9284027113
0.100000,0.01934483,22.4769151294,23.1179933503
0.100000,0.02000000,21.7745720837,22.360679775
0.300000,0.00100000,393.685066973,394.405318873
0.300000,0.00165517,237.590083283,238.286546819
0.300000,0.00231034,170.006010502,170.71274996
0.300000,0.00296552,132.284865156,132.997142411
0.300000,0.00362069,108.215343584,108.930992832
0.300000,0.00427586,91.4997308587,92.2399536075
0.300000,0.00493103,79.3036825434,79.9842954358
0.300000,0.00558621,69.9000904363,70.6034212798
0.300000,0.00624138,62.4708675777,63.1920124162
0.300000,0.00689655,56.5085296231,57.1887712366
0.300000,0.00755172,51.4799720052,52.227188344
0.300000,0.00820690,47.4072343302,48.0577909552
0.300000,0.00886207,43.7737989717,44.5048803398
0.300000,0.00951724,40.7922293253,41.4411385773
0.300000,0.01017241,38.1276627567,38.772048296
0.300000,0.01082759,35.7156317924,36.4259689405
0.300000,0.01148276,33.704113735,34.3476103523
0.300000,0.01213793,31.7914449271,32.4936200208
0.300000,0.01279310,30.2104418034,30.8295262731
0.300000,0.01344828,28.71058596,29.3275749931
0.300000,0.01410345,27.2966367651,27.9651693089
0.300000,0.01475862,26.1256277894,26.7237248769
0.300000,0.01541379,24.8685693913,25.5878171081
0.300000,0.01606897,23.891887681,24.5445370114
0.300000,0.01672414,22.9110810483,23.5829984481
0.300000,0.01737931,22.0043083907,22.6939568399
0.300000,0.01803448,21.1635008372,21.8695109892
0.300000,0.01868966,20.3817209454,21.102867615
0.300000,0.01934483,19.7221987921,20.3881537385
0.300000,0.02000000,19.1059332108,19.7202659437
0.500000,0.00100000,332.490234375,333.333333333
0.500000,0.00165517,200.536216646,201.388888889
0.500000,0.00231034,143.422211381,144.278606965
0.500000,0.00296552,111.599512493,112.403100775
0.500000,0.00362069,91.1821574871,92.0634920635
0.500000,0.00427586,77.097596264,77.9569892473
0.500000,0.00493103,66.8212162112,67.5990675991
0.500000,0.00558621,58.8977574108,59.670781893
0.500000,0.00624138,52.5864208694,53.4069981584
0.500000,0.00689655,47.5442355832,48.3333333333
0.500000,0.00755172,43.2921879731,44.1400304414
0.500000,0.00820690,39.7971865026,40.6162464986
0.500000,0.00886207,36.8189908596,37.6134889754
0.500000,0.00951724,34.1839077523,35.0241545894
0.500000,0.01017241,32.0322045758,32.7683615819
0.500000,0.01082759,30.0057842892,30.7855626327
0.500000,0.01148276,28.2108507191,29.029029029
0.500000,0.01213793,26.7298061015,27.4621212121
0.500000,0.01279310,25.3113612022,26.055705301
0.500000,0.01344828,24.0312157856,24.7863247863
0.500000,0.01410345,22.8700956693,23.6348818256
0.500000,0.01475862,21.8121491895,22.5856697819
0.500000,0.01541379,20.9176436865,21.6256524981
0.500000,0.01606897,20.0255893657,20.7439198856
0.500000,0.01672414,19.2035015033,19.9312714777
0.500000,0.01737931,18.3712813066,19.1798941799
0.500000,0.01803448,17.6692955038,18.4831102613
0.500000,0.01868966,17.0765326124,17.8351783518
0.500000,0.01934483,16.523961434,17.2311348782
0.500000,0.02000000,15.8890108551,16.6666666667
